Hidraulica		16.051	18.040	15.194	12.817	18.508	21.058	22.524	21.864	20.889	25.436	28.068	22.227	23.570	24.557	21.254	20.623	20.124	19.514	23.511	23.866	19.446	21.768	23.218	20.797	20.637	16.016	20.290
Solar PV + CSP																			7	459	1.360	2.550	3.896	5.083	6.347	7.638	10.215	14.463
Eólica													3	31	71	325	324	383	539	1.411	2.080	2.252	3.507	3.918	4.812	5.537	7.095	8.872
Biomasa		238	653	813	914	617	387	374	432	646	517	570	744	884	966	841	888	1.828	2.257	2.715	2.384	2.643	2.456	1.669	1.820	1.883	1.946	1.895
Geotérmica																							64	214	202	246	317	465
Cogeneración																		25	121	122	134	131	137	864	130	184	303	281
Otras renovables																												
Total renovable		16.289	18.693	16.007	13.731	19.125	21.445	22.898	22.296	21.535	25.953	28.638	22.974	24.485	25.594	22.420	21.835	22.335	22.317	28.096	29.690	26.891	31.691	34.966	34.108	36.125	35.892	46.266
Carbón		9.733	8.588	10.330	13.034	9.429	6.272	6.901	6.783	9.404	8.816	12.096	14.716	15.285	15.736	17.572	21.521	26.857	31.548	28.893	28.622	32.456	29.407	29.453	28.390	27.008	27.617	19.291
Gas Natural			42	3.775	6.476	9.949	12.729	12.440	15.956	17.508	14.651	12.230	5.822	2.938	4.938	11.355	14.153	12.457	11.258	10.027	11.092	11.987	12.059	10.664	14.131	13.710	14.464	15.895
Petroleo		1.882	2.857	2.835	2.617	301	91	29	21	141	1.153	539	12.409	13.598	10.377	6.909	4.424	3.873	2.807	2.759	2.161	1.889	845	1.209	683	908	2.183	1.793
Subtotal no renovable		11.615	11.487	16.940	22.127	19.679	19.092	19.370	22.760	27.053	24.620	24.865	32.947	31.821	31.051	35.836	40.098	43.187	45.613	41.679	41.875	46.332	42.311	41.326	43.204	41.626	44.264	36.979
TOTAL SEN/SIC/SING [GWh]		27.904	30.180	32.947	35.858	38.804	40.537	42.268	45.056	48.588	50.573	53.503	55.921	56.306	56.645	58.256	61.933	65.522	67.930	69.775	71.565	73.223	74.002	76.292	77.312	77.751	80.155	83.245
